DokId;Kolejnosc;NrPozycji;SKU;TypPoz;IloscPlus;IloscMinus;CenaPoRab;Wartosc;Data;KolejnyWDniu;NrDok;TypDok;Aktywny;NrKolejny;AsId;Nazwa_towar;Kod;Marza;CenaDet;Nazwa_asort;Rok;Miesiac;RokMiesiac;DzienTygodnia;czy_remanent;ilosc_netto;Ruch;nazwa_dnia;dlugi_weekend;niedziela_handlowa;kategoria_dnia
1216668;741;741;11398;3;91.0;294.0;4.59;-931.77;2023-02-19;2.0;REM/23/9;16;0.0;;151.0;CUKIER BIAŁY KRÓLEWSKI 1KG SUDZUCKER;5902136817550.0;0.0;3.2315;CUKIER /zbożowe i sypkie;2023;2;2023-02;6;True;-203.0;-203.0;Niedziela;False;False;Niedziela
1216669;1345;1205;11398;3;282.0;294.0;4.59;-55.08;2023-02-19;4.0;REM/23/9;16;1.0;;151.0;CUKIER BIAŁY KRÓLEWSKI 1KG SUDZUCKER;5902136817550.0;0.0;3.2315;CUKIER /zbożowe i sypkie;2023;2;2023-02;6;True;-12.0;-12.0;Niedziela;False;False;Niedziela
1601036;3235;975;11398;3;177.0;178.0;4.6204;-4.6204;2024-02-25;2.0;REM/24/16;16;1.0;;151.0;CUKIER BIAŁY KRÓLEWSKI 1KG SUDZUCKER;5902136817550.0;0.0;3.2315;CUKIER /zbożowe i sypkie;2024;2;2024-02;6;True;-1.0;-1.0;Niedziela;False;False;Niedziela
1842411;5137;3894;11398;3;132.0;137.0;2.5833;-12.9165;2024-11-10;4.0;REM/24/76;16;1.0;;151.0;CUKIER BIAŁY KRÓLEWSKI 1KG SUDZUCKER;5902136817550.0;0.0;3.2315;CUKIER /zbożowe i sypkie;2024;11;2024-11;6;True;-5.0;-5.0;Niedziela;False;False;Niedziela
